nquest,comprens,ita,veroaf,veroab,verored,klima,facil,INTS,durata
636237,10,10,10,10,10,10,10,10,53
636289,9,9,8,8,8,8,8,9,44
636305,9,9,7,8,8,9,8,7,46
636401,10,10,10,10,10,8,8,8,38
636407,10,10,10,10,10,10,10,10,72
636418,10,10,10,10,10,10,10,10,45
637242,10,10,10,10,10,10,10,10,38
637619,8,8,8,8,8,8,8,8,21
637701,8,8,9,9,9,9,9,9,54
637711,8,8,7,9,8,8,8,9,25
637869,6,7,7,7,6,7,7,6,52
638250,8,7,7,7,7,8,8,8,32
638339,10,10,10,10,10,10,10,10,63
638360,9,9,9,9,9,7,7,7,89
638395,8,8,8,8,8,8,9,8,87
639013,7,8,8,9,9,9,8,8,139
639331,7,8,7,8,7,9,8,6,51
639502,10,10,10,10,10,9,10,10,49
639575,7,7,8,8,8,8,7,8,43
639924,10,10,10,10,10,10,10,10,46
639971,8,7,9,9,8,7,7,8,84
640164,10,9,9,9,9,9,8,9,38
640212,9,9,7,7,6,8,9,9,67
640790,8,7,7,8,7,6,6,6,36
640821,10,10,8,10,10,10,8,10,106
640837,7,8,8,8,8,8,8,8,50
640864,8,7,7,7,5,8,7,6,67
640954,8,7,8,8,7,8,7,7,39
641084,10,10,10,10,10,10,10,10,48
641624,8,8,8,8,8,8,8,8,39
641628,8,8,8,8,8,8,8,8,37
648534,7,8,7,8,6,9,8,8,48
648636,8,8,8,9,8,9,8,8,60
648863,8,8,8,9,9,10,8,7,38
649032,6,6,6,6,6,6,5,6,57
649054,5,6,5,6,6,6,6,5,51
649071,5,5,5,6,5,6,5,5,63
649089,6,5,5,6,6,6,5,5,59
649391,7,6,6,6,6,6,7,7,41
650027,8,8,7,8,7,8,7,7,65
650048,7,6,6,8,8,8,6,7,51
650079,8,9,8,8,8,8,8,7,38
650091,8,7,6,7,6,8,8,5,50
670338,7,7,6,8,8,7,7,7,43
670362,10,10,10,10,10,10,10,10,46
670485,10,10,10,10,10,10,10,10,85
670652,6,4,5,7,6,9,7,7,47
670670,9,9,9,8,8,10,10,10,35
670698,8,8,8,8,8,8,8,8,89
670711,8,9,8,8,8,8,8,9,109
670762,10,10,10,10,10,10,10,10,35
670853,9,9,10,10,10,10,10,10,38
670857,8,8,10,8,9,10,10,10,33
671105,10,9,10,10,10,10,10,10,86
671136,10,9,9,9,9,9,8,9,35
671149,9,9,5,7,5,8,9,6,75
671152,8,8,8,8,7,9,7,7,102
