nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
913527,18524.979223,0,0,0,14870,14870,14300,570,0,0,0,0,0,0,0,0,0,3654.9792229,3600,0,3600,54.979222863,54.979222863,0,0,0,4,2
913537,33810.995845,33800,33800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.995844573,0,0,0,10.995844573,10.995844573,0,0,0,7,4
913538,48038.243299,43000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5038.2432991,4800,0,4800,238.24329907,238.24329907,0,0,0,9,5
913548,8700,11700,11700,0,-7800,0,0,0,-7800,0,0,-7800,0,7800,0,0,0,4800,4800,0,4800,0,0,0,0,0,1,1
913556,60504.824402,0,0,0,58500,58500,58500,0,0,0,0,0,0,0,0,0,0,2004.8244019,0,0,0,2004.8244019,167.05891366,1391.5181346,446.24735366,0,10,5
913558,24997.914951,0,0,0,18980,18980,18980,0,0,0,0,0,0,0,0,0,0,6017.9149511,6000,0,6000,17.914951067,17.914951067,0,0,0,6,3
913559,39258.764286,0,0,0,33150,33150,33150,0,0,0,0,0,0,0,0,0,0,6108.7642864,6000,0,6000,108.76428639,77.509806827,0,31.254479568,0,8,4
913560,22210.044829,0,0,0,22100,22100,22100,0,0,0,0,0,0,0,0,0,0,110.0448292,0,0,0,110.0448292,110.0448292,0,0,0,5,3
913564,34034.074036,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,14534.074036,14400,0,14400,134.07403583,24.959272376,0,109.11476346,0,7,4
913567,9116.4803795,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,16.480379511,0,0,0,16.480379511,16.480379511,0,0,0,1,1
913573,54067.757735,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,35000,0,19067.757735,18900,0,18900,167.75773459,167.75773459,0,0,0,9,5
913576,27000,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
913577,40045.479051,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.47905105,0,0,0,45.47905105,45.47905105,0,0,0,8,4
913578,7500,0,0,0,3900,3900,3900,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0,1,1
913580,33022.420116,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6022.420116,6000,0,6000,22.420116015,22.420116015,0,0,0,7,4
913582,13023.368643,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.36864296,0,0,0,23.36864296,23.36864296,0,0,0,2,1
913588,30061.248575,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,0,61.248575063,0,0,0,61.248575063,45.429403208,0,15.819171855,0,7,4
913589,20016.414983,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.414983372,0,0,0,16.414983372,16.414983372,0,0,0,4,2
913595,19848.560796,19824,19824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.560796415,0,0,0,24.560796415,24.560796415,0,0,0,4,2
913604,118762.73236,36000,36000,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,48962.732355,44200,17600,26600,4762.7323553,549.79222863,0,4212.9401267,0,10,5
913611,22013.274889,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,5113.274889,4800,0,4800,313.27488901,102.62788268,0,210.64700633,0,5,3
913612,23486.652815,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,7236.6528152,7200,0,7200,36.652815242,36.652815242,0,0,0,5,3
913613,45652.799734,20000,20000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,4852.7997339,4800,0,4800,52.799733862,32.987533718,19.812200144,0,0,9,5
913625,23987.069336,0,0,0,14040,14040,14040,0,0,0,0,0,0,0,0,0,0,9947.0693363,9200,0,9200,747.06933628,747.06933628,0,0,0,5,3
913632,23018.326408,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818.3264076,4800,0,4800,18.326407621,18.326407621,0,0,0,5,3
913638,30188.035528,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,6788.0355277,6000,0,6000,788.03552771,788.03552771,0,0,0,7,4
913640,16718.326408,17000,16900,100,-300,0,0,0,-300,0,0,-300,0,300,0,0,0,18.326407621,0,0,0,18.326407621,18.326407621,0,0,0,3,2
913645,15895.384622,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,295.38462192,0,0,0,295.38462192,153.31265588,142.07196604,0,0,3,2
913646,21573.30563,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,7273.3056305,7200,0,7200,73.305630485,73.305630485,0,0,0,5,3
913647,47141.625203,0,0,0,39600,39600,39600,0,0,0,0,0,0,0,0,0,0,7541.6252027,7200,0,7200,341.62520275,111.14841913,0,230.47678362,0,9,5
