nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
24760,1,0,,,,,,,,2,,,,,,,,,,,
24764,1,0,,,,,,,,2,,2,,,,,,,,,
24764,2,2,2,,1,17,1,34,,1,,2,,,19,,,,,2,
24764,3,0,,,,,,,,2,,2,,,,,,,,,
24764,4,0,,,,,,,,2,,2,,,,,,,,,
24764,5,,,,,,,,,,,,,,,,,,,,
24809,1,0,,,,,,,,2,,2,,,,,,,,,
24809,2,2,2,,1,20,1,30,,2,,,,1990,,,,,,,
24853,1,1,2,,,21,1,33,,2,,,,2011,,,,,,,
24853,2,1,2,,,29,1,17,,1,100,2,,,,67,60,70,50,,
25007,1,1,2,,,23,1,25,,2,,,,1978,,,,,,,
26349,1,0,,,,,,,,2,,,,,,,,,,,
27109,1,0,,,,,,,,2,,,,,,,,,,,
27114,1,0,,,,,,,,2,,,,,,,,,,,
27116,1,0,,,,,,,,2,,,,,,,,,,,
27157,1,1,2,,,15,1,32,,1,50,1,0,,,65,50,55,45,,
27157,2,1,2,,,20,1,25,,1,,2,,,,,,,,2,
27157,3,0,,,,,,,,2,,2,,,,,,,,,
27157,4,0,,,,,,,,2,,2,,,,,,,,,
27238,1,2,2,,1,15,1,31,,2,,,,2004,,,,,,,
27238,2,1,2,,,21,1,20,,1,,2,,,,,,,,2,
27509,1,1,2,,,14,1,30,,2,,,,1989,,,,,,,
27730,1,4,1,15,1,43,1,5,,2,,2,,2002,,,,,,,
27730,2,2,2,,1,18,1,40,,2,,,,1996,,,,,,,
27730,3,2,,10,1,20,1,7,,2,,1,,2011,,,,,,,
27730,4,1,2,,,23,1,10,,1,,2,,,,,,,,2,
27734,1,2,2,,3,18,1,3,,2,,2,,1988,,,,,,,
27734,2,10,2,,1,14,1,42,,2,,,,2006,,,,,,,
27739,1,0,,,,,,,,2,,,,,,,,,,,
27742,1,0,,,,,,,,2,,,,,,,,,,,
27912,1,1,2,,,22,1,38,,2,,,,2008,,,,,,,
27912,2,1,1,5,,18,1,40,,2,,,,2017,,,,,,,
27912,3,1,1,3,,20,1,2,,1,,2,,,,,,,,3,
