nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debgar31_4,debgar32_4,debgar33_4,debgar34_4,debgar31_5,debgar32_5,debgar33_5,debgar34_5,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34
874213,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,2,,,,3000,,,,8,,,,300,,,,1,,,,1800,,,
874325,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,7,,,,21000,,,,3,,,,14000,,,,1,,,,3360,,,
874376,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,2,,,,5,,,,5000,,,,,,,,4300,,,,3,,,,700,,,
874515,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,23000,,,,7.4,,,,20000,,,,1,,,,3600,,,
874517,2014,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,2,,,1,1,,,1,2,,,5,1,,,16000,1700,,,0,,,,10000,1100,,,1,3,,,3600,,,
874670,2005,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,2,,,,2,,,,20,,,,5000,,,,10,,,,4000,,,,2,,,,2500,,,
874717,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,10000,,,,7.9,,,,8600,,,,1,,,,1400,,,
874761,2012,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,13000,,,,,,,,2500,,,,3,,,,2600,,,
875139,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,1,,,,10,,,,12000,,,,8,,,,11000,,,,1,,,,2000,,,
875211,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,5,,,,10000,,,,7.3,,,,8500,,,,1,,,,2200,,,
875217,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,9420,,,,5,,,,3700,,,,1,,,,1880,,,
875280,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,8000,,,,4,,,,3000,,,,1,,,,3000,,,
875382,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,1200,,,,,,,,600,,,,3,,,,600,,,
875523,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2600,,,,,,,,1560,,,,3,,,,720,,,
875855,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,5,,,,20000,,,,3.5,,,,15000,,,,2,,,,5000,,,
876023,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,1,,,,5,,,,5000,,,,5,,,,3000,,,,1,,,,1200,,,
877653,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,2,,,,,,,,2,,,,2,,,,5000,,,,3.5,,,,3500,,,,1,,,,1610,,,
877751,2015,,,,0,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,2,,,,4,,,,8000,,,,8,,,,5000,,,,1,,,,2800,,,
878002,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,6,,,,7000,,,,7.6,,,,6500,,,,1,,,,500,,,
878292,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,4,,,,10000,,,,0.4,,,,4000,,,,2,,,,6000,,,
878316,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,14000,,,,2.5,,,,11500,,,,1,,,,2500,,,
878831,2016,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,4,,,1,1,,,2,2,,,5,1,,,10000,300,,,5.5,,,,9000,60,,,1,3,,,1000,240,,
879257,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,14000,,,,2.5,,,,8000,,,,1,,,,3000,,,
879844,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,2,,,,,,,,1,,,,1,,,,1000,,,,,,,,500,,,,3,,,,500,,,
879943,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,6,,,,14500,,,,6.5,,,,12000,,,,1,,,,3000,,,
879958,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,11000,,,,,,,,5420,,,,3,,,,2760,,,
880066,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,7000,,,,3,,,,6500,,,,1,,,,500,,,
880072,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,25000,,,,4,,,,20000,,,,1,,,,7000,,,
880181,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1400,,,,,,,,700,,,,3,,,,700,,,
880827,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,18000,,,,0.3,,,,8000,,,,2,,,,3600,,,
880861,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,3,,,,3500,,,,,,,,2000,,,,3,,,,1500,,,
880912,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,5,,,,1,,,,2,,,,3,,,,12000,,,,5,,,,9000,,,,1,,,,3000,,,
881028,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,1,,,,3,,,,6000,,,,3,,,,3360,,,,1,,,,3360,,,
881284,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,2,,,,,,,,2,,,,5,,,,20000,,,,11,,,,8000,,,,1,,,,5000,,,
881550,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,10000,,,,,,,,7500,,,,3,,,,1500,,,
881700,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,13500,,,,,,,,12000,,,,3,,,,3000,,,
882203,2015,,,,0,,,,0,,,,0,,,,0,,,,1,,,,2,,,,,,,,1,,,,2,,,,2400,,,,,,,,600,,,,3,,,,1200,,,
882211,2015,2016,,,1,0,,,0,0,,,0,0,,,0,0,,,0,1,,,1,2,,,,,,,1,2,,,6,1,,,12000,780,,,6,,,,9800,500,,,1,3,,,3000,580,,
882635,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,7000,,,,0,,,,1000,,,,1,,,,1300,,,
882927,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,1,,,,5,,,,9200,,,,2,,,,8000,,,,1,,,,2000,,,
883356,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,1,,,,3,,,,3000,,,,10,,,,2485,,,,1,,,,515,,,
883392,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,3,,,,15000,,,,,,,,7000,,,,3,,,,6000,,,
883754,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,3,,,,25000,,,,6,,,,8000,,,,1,,,,7500,,,
883762,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,5,,,,1,,,,2,,,,2,,,,3000,,,,13,,,,1200,,,,1,,,,1400,,,
883763,2012,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,7,,,,40211,,,,12,,,,14000,,,,1,,,,6000,,,
883833,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,6,,,,25000,,,,8,,,,12000,,,,2,,,,6000,,,
884101,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,2,,,,2000,,,,4.9,,,,1300,,,,1,,,,700,,,
884678,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,15000,,,,6.7,,,,14200,,,,1,,,,800,,,
884802,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,10000,,,,8,,,,5000,,,,1,,,,5000,,,
884968,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,2,,,,5000,,,,4,,,,0,,,,1,,,,2500,,,
884972,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,1,,,,5,,,,21000,,,,3.7,,,,20500,,,,1,,,,500,,,
885318,2013,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,6,,,,16000,,,,5,,,,7000,,,,2,,,,2400,,,
885625,2014,2012,2016,,0,0,0,,0,0,0,,0,0,0,,1,1,1,,0,0,0,,4,4,4,,1,2,1,,1,1,2,,4,5,2,,6000,7000,2000,,4,3,3,,4800,952,1000,,1,1,1,,2400,1512,1000,
885634,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,1,,,,4,,,,8000,,,,2,,,,6500,,,,1,,,,1000,,,
886226,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,10800,,,,6.35,,,,5700,,,,1,,,,3600,,,
886419,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,3,,,,2,,,,2,,,,3,,,,5000,,,,8,,,,4200,,,,1,,,,800,,,
