nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
32810,1,0,0,8450,0,0,0,0,0,0,8450,0,0,8450,0,0,2400,2400,48.203629704,0,0,0,48.203629704,2448.2036297,10898.20363,0,0
32822,1,0,0,22100,0,0,0,0,0,0,22100,0,0,22100,0,0,0,0,47.648659815,0,0,0,47.648659815,47.648659815,22147.64866,0,0
32822,2,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0,5200,0,0
32822,3,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0
32839,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,7200,7200,20.525576536,0,33.510921386,0,54.036497921,7254.0364979,26754.036498,0,0
32861,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,7200,7200,54.979222863,118.87320086,33.510921386,0,207.36334511,7407.3633451,21707.363345,0,0
32861,2,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,0,0,0,0,0,0,0,0,19500,0,0
32861,3,15000,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0
32887,1,2200,0,0,0,0,0,0,0,2200,0,0,0,0,12500,0,13800,13800,5.4979222863,0,0,0,5.4979222863,13805.497922,28505.497922,12500,0
32887,2,19500,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0
33036,1,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,0,0,0,0,0,0,0,0,10400,0,0
33038,1,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,3000,3000,16.385840933,0,0,0,16.385840933,3016.3858409,17016.385841,0,0
33038,4,10300,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300,0,0
33038,5,18000,5000,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0
33275,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,6000,6000,0,0,0,0,0,6000,26800,0,0
33275,2,0,0,18850,0,0,0,0,0,0,18850,0,0,18850,0,0,0,0,0,0,0,0,0,0,18850,0,0
33303,1,0,0,20020,0,0,0,0,0,0,20020,0,0,20020,0,0,7200,7200,7.3305630485,0,526.61751583,691.70258432,-157.7545054,7042.2454946,27062.245495,0,0
33303,2,0,0,12610,0,0,0,0,0,0,12610,0,0,12610,0,0,0,0,0,0,0,0,0,0,12610,0,0
33335,1,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,6000,6000,608.05901118,0,0,0,608.05901118,6608.0590112,24608.059011,0,0
33335,2,13000,0,0,0,0,0,0,0,13000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,16000,3000,0
33335,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,5000,5000,0
33335,4,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0
